發生時間,發生地點,死亡受傷人數,車種,經度,緯度
111年03月02日 23時34分00秒,苗栗縣苗栗市中華路686號對面,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.825156,24.588724
111年03月03日 10時29分00秒,高雄市仁武區鳳仁路 / 高雄市仁武區竹門巷,死亡1;受傷0,動力機械-其他車;普通重型-機車,120.340692,22.708360
111年03月03日 11時47分46秒,嘉義縣溪口鄉溪東村成功路81號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.398156,23.600801
111年03月03日 17時45分00秒,高雄市燕巢區海成街26號前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車,120.315818,22.773501
111年03月04日 07時55分00秒,臺中市清水區西社里中華路 / 臺中市清水區西社里鰲峰路,死亡1;受傷0,普通重型-機車;自用-小客車,120.566866,24.268273
111年03月04日 09時38分00秒,臺中市后里區公館里重劃西路前0.0公尺,死亡1;受傷0,普通重型-機車,120.723860,24.338755
111年03月04日 15時02分00秒,嘉義縣太保市南新里北港路二段、南埤路路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.384175,23.496235
111年03月04日 21時35分51秒,臺南市北區和緯路二段口 / 臺南市北區育德一街口,死亡1;受傷1,普通重型-機車;普通輕型-機車,120.205118,23.012417
111年03月05日 01時13分48秒,新竹縣湖口鄉八德路2段175-1號前0.0公尺南側,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.061303,24.879337
111年03月05日 03時11分00秒,宜蘭縣冬山鄉珍珠三路口 / 宜蘭縣冬山鄉幸福一路口,死亡1;受傷1,自用-小客車;普通重型-機車,121.784239,24.649725
111年03月05日 09時49分28秒,臺南市新市區環東路二段與南科六路路口往北車道,死亡1;受傷3,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.283596,23.106972
111年03月05日 09時51分00秒,臺南市佳里區台19線 125公里200.0公尺處南側,死亡1;受傷0,自用-小客車,120.188658,23.147220
111年03月05日 10時20分00秒,臺中市大肚區新興里自由路 / 臺中市大肚區新興里自由路,死亡1;受傷0,普通重型-機車;自用-小客車,120.548442,24.143438
111年03月05日 15時50分00秒,高雄市美濃區復興街2段 / 高雄市美濃區龜山街,死亡1;受傷1,自用-小客車;營業用-半聯結車;乘客-人,120.561637,22.856672
111年03月05日 21時28分00秒,雲林縣麥寮鄉雲3道路,死亡1;受傷1,自用-小客車;自用-小客車,120.232165,23.781397
111年03月06日 00時26分00秒,苗栗縣後龍鎮國道3號 126公里300.0公尺處南側向外側,死亡1;受傷3,自用-小客車;租賃車-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人,120.796847,24.607359
111年03月06日 02時14分00秒,桃園市中壢區中正路口 / 桃園市中壢區環西路口,死亡1;受傷0,租賃車-小客車;行人-人,121.207885,24.961570
111年03月06日 02時28分00秒,臺南市永康區國道1號 321公里500.0公尺處南側向外側,死亡1;受傷0,自用-小客車;營業用-半聯結車,120.249199,23.028060
111年03月06日 09時30分00秒,新北市林口區新北市林口區臺61線道路北上13公里處,死亡1;受傷0,自用-小客車;自用-大貨車,121.343132,25.101927
111年03月07日 03時29分29秒,雲林縣口湖鄉台17線(口湖休息站旁),死亡1;受傷0,自用-小客車,120.151158,23.574618
111年03月07日 05時04分00秒,桃園市觀音區新華路一段口 / 桃園市觀音區新華路一段口,死亡1;受傷0,行人-人;營業用-曳引車,121.108030,24.988870
111年03月07日 09時31分00秒,臺中市南屯區文山里向上路五段前0.0公尺,死亡1;受傷0,普通重型-機車,120.591166,24.158921
111年03月07日 14時46分00秒,彰化縣福興鄉番婆村彰鹿路6段504弄217號前0.0公尺附近,死亡1;受傷0,腳踏自行車-慢車,120.460870,24.051578
111年03月07日 15時37分00秒,苗栗縣銅鑼鄉樟樹村竹圍42之1號前,死亡1;受傷0,普通重型-機車,120.777050,24.439788
111年03月07日 15時45分00秒,高雄市苓雅區三多一路 / 高雄市苓雅區建軍路,死亡1;受傷0,普通重型-機車;租賃車-小客車,120.342320,22.624689
111年03月07日 17時06分00秒,臺中市太平區工業路215號前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車;普通重型-機車,120.720809,24.107143
111年03月07日 17時25分00秒,新北市蘆洲區長安街 / 新北市蘆洲區環堤大道路,死亡1;受傷1,行人-人;普通重型-機車,121.456789,25.086955
111年03月07日 21時48分27秒,桃園市大溪區國道3號 63公里北側向內側,死亡1;受傷2,自用-小客車;其他人-人;自用-小客車;自用-大貨車,121.263343,24.889259
111年03月08日 04時45分00秒,新北市金山區新北市金山區三界壇路486253號燈桿前,死亡1;受傷0,普通重型-機車,121.628712,25.225609
111年03月08日 07時12分00秒,新竹縣竹東鎮光明路930-1號附近,死亡1;受傷0,普通重型-機車;自用-小客車,121.050363,24.784525
111年03月08日 07時50分00秒,新竹市香山區西濱快速道路南下側車道84.2K(近無名巷口),死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車,120.893511,24.741052
111年03月08日 09時02分00秒,新北市新店區新北市新店區青山路與青山路無名巷(128309號燈桿),死亡1;受傷1,大型重型2(250-550C.C.)-機車;普通重型-機車,121.514340,24.949751
111年03月08日 09時47分00秒,臺北市北投區大度路2段 / 臺北市北投區承德路7段,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.485891,25.121646
111年03月08日 16時11分37秒,臺南市仁德區上崙一街口 / 臺南市仁德區崑崙路口,死亡1;受傷1,普通重型-機車;電動自行車-慢車,120.257811,22.938422
111年03月08日 17時56分05秒,嘉義縣民雄鄉豐收村好收22A分35北分15分1號電桿旁村里道路,死亡1;受傷0,普通重型-機車;自用-小客車,120.455728,23.568099
111年03月08日 18時32分00秒,臺中市太平區德隆里太堤東路前0.0公尺,死亡1;受傷3,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人;乘客-人,120.712287,24.106478
111年03月08日 19時16分00秒,高雄市鳳山區鳳頂路 / 高雄市鳳山區過埤路,死亡1;受傷3,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.358700,22.589990
111年03月09日 06時08分00秒,臺中市太平區新興里新興路172號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,120.707773,24.159304
111年03月09日 06時27分00秒,高雄市仁武區鳳仁路26之3號前0.0公尺,死亡1;受傷0,普通重型-機車,120.356263,22.680234
111年03月09日 07時41分00秒,嘉義縣朴子市德興里縣157線與產業道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.265501,23.472773
111年03月09日 12時17分00秒,高雄市岡山區中山北路 / 高雄市岡山區平和東街,死亡1;受傷1,普通重型-機車;普通重型-機車,120.298746,22.794770
111年03月09日 13時41分02秒,嘉義縣六腳鄉台19線 77公里500.0公尺處北側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.260983,23.518714
111年03月09日 15時00分00秒,新北市貢寮區台2線 108公里200.0公尺處西側向外側,死亡2;受傷0,普通重型-機車;營業用-曳引車;乘客-人,121.999400,25.013538
111年03月09日 16時36分00秒,彰化縣和美鎮湖內里彰新路6段689弄前0.0公尺,死亡1;受傷0,普通重型-機車,120.508851,24.152131
111年03月09日 17時07分00秒,臺中市西屯區惠來里市政北二路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.637238,24.162893
111年03月10日 04時25分00秒,彰化縣社頭鄉仁雅村中山路1段306號前0.0公尺前,死亡1;受傷0,普通重型-機車;遊覽車-大客車,120.584305,23.892085
111年03月10日 07時21分10秒,屏東縣高樹鄉屏185線道9K處馬津幹63電杆旁,死亡1;受傷0,自用-大貨車;普通重型-機車,120.623494,22.806643
111年03月10日 07時35分00秒,桃園市楊梅區泰圳路附近 / 桃園市楊梅區上湖一路附近,死亡1;受傷0,普通重型-機車,121.104550,24.902898
111年03月10日 10時42分20秒,屏東縣東港鎮朝隆路與新生三路口,死亡1;受傷0,普通重型-機車;民營客運-大客車,120.444040,22.467754
111年03月11日 00時15分30秒,南投縣埔里鎮南環路西北橋附近,死亡1;受傷0,普通重型-機車,120.951796,23.964823
111年03月11日 03時45分48秒,苗栗縣三義鄉國道1號 151公里300.0公尺處北側向爬坡,死亡2;受傷0,自用-小貨車(含客、貨兩用);營業用-半聯結車;乘客-人,120.755694,24.389010
111年03月11日 04時55分00秒,嘉義縣中埔鄉義仁村台三線與嘉132線岔路口,死亡2;受傷2,自用-小貨車(含客、貨兩用);營業用-曳引車;乘客-人;乘客-人;乘客-人,120.528903,23.446715
111年03月11日 09時30分00秒,臺中市大里區西湖里大峰路 / 臺中市大里區西湖里西湖路,死亡1;受傷0,自用-大貨車;行人-人,120.688994,24.078150
111年03月11日 09時35分00秒,臺中市后里區中和里公安路202號前20.0公尺東側,死亡1;受傷0,自用-小客車,120.702667,24.308202
111年03月11日 16時30分00秒,彰化縣大城鄉菜寮村蔡厝巷口 / 彰化縣大城鄉菜寮村過溝巷口,死亡2;受傷0,普通重型-機車;普通重型-機車,120.308196,23.862830
111年03月11日 18時18分00秒,屏東縣新埤鄉新埤村箕湖橋西向1.9公里,死亡1;受傷0,普通重型-機車,120.588569,22.470075
111年03月11日 22時33分00秒,嘉義縣中埔鄉台3線 295公里700.0公尺處北側,死亡1;受傷1,自用-小客車;行人-人;自用-小客車,120.530675,23.380660
111年03月11日 23時43分00秒,臺北市萬華區西園路2段 / 臺北市萬華區艋舺大道,死亡1;受傷1,普通輕型-機車;普通重型-機車;計程車-小客車,121.497866,25.033088
111年03月13日 06時55分00秒,高雄市鳳山區五甲一路.號前0.0公尺,死亡1;受傷0,普通重型-機車,120.350200,22.611900
111年03月13日 13時33分00秒,屏東縣屏東市泰和產業道路電桿(電錶號10-5080-19),死亡1;受傷0,普通重型-機車,120.486962,22.671329
111年03月13日 16時52分00秒,臺南市白河區南92-1 1公里,死亡2;受傷1,自用-小客車;行人-人;行人-人,120.441640,23.372443
111年03月13日 17時35分20秒,臺南市柳營區人和里雙和路北側 / 臺南市柳營區人和里界和路東側,死亡1;受傷0,民營公車-大客車;大型重型2(250-550C.C.)-機車,120.303160,23.284742
111年03月13日 23時12分00秒,臺中市北屯區仁和里山西路二段 / 臺中市北屯區仁和里崇德八路一段,死亡1;受傷0,普通重型-機車;自用-小客車,120.680073,24.185281
111年03月14日 13時24分00秒,新北市林口區文化一路2段 / 新北市林口區中山路,死亡1;受傷0,自用-大貨車;普通重型-機車,121.384402,25.082865
111年03月14日 16時37分00秒,高雄市桃源區勤和里勤和巷36號前0.0公尺前,死亡1;受傷0,自用-大貨車;行人-人,120.774570,23.170504
111年03月14日 18時06分00秒,高雄市湖內區忠孝街 / 高雄市湖內區忠孝街,死亡1;受傷1,普通重型-機車;遊覽車-大客車;乘客-人,120.237878,22.893036
111年03月14日 18時40分00秒,雲林縣大埤鄉台一線與台78線匝道,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.473487,23.658820
111年03月14日 22時21分56秒,南投縣埔里鎮台21線 51公里300.0公尺處,死亡1;受傷0,普通重型-機車,120.926755,23.936596
111年03月15日 06時24分41秒,南投縣南投市中興路口 / 南投縣南投市軍功路口,死亡1;受傷1,普通重型-機車;營業用-曳引車;乘客-人,120.692452,23.922573
111年03月15日 06時27分00秒,彰化縣二林鎮萬合里太平路2段前0.0公尺東側,死亡1;受傷0,普通重型-機車,120.412811,23.919133
111年03月15日 07時40分00秒,屏東縣里港鄉高樹大橋里港端旁引道,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.537635,22.780977
111年03月15日 09時54分00秒,屏東縣恆春鎮南灣路往潭仔方向,死亡1;受傷0,普通重型-機車,120.770969,21.954250
111年03月15日 11時09分00秒,高雄市左營區自由四路口 / 高雄市左營區自由四路口,死亡1;受傷1,普通輕型-機車;普通重型-機車,120.317823,22.686161
111年03月15日 12時37分00秒,桃園市中壢區民權路三段299號前0.0公尺附近,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用),121.213370,24.974868
111年03月15日 18時10分55秒,宜蘭縣大同鄉泰雅路二段92巷99號(沐野露營區)往山上約800公尺之產業道路上,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.564815,24.644622
111年03月15日 19時07分00秒,高雄市楠梓區創新路 / 高雄市楠梓區土庫二路,死亡1;受傷1,普通重型-機車;行人-人,120.324430,22.740414
111年03月15日 19時32分03秒,嘉義縣水上鄉溪州村外溪洲運動公園旁產業道路,死亡1;受傷1,普通重型-機車;行人-人,120.395124,23.417526
111年03月16日 05時22分00秒,臺中市大甲區頂店里中山路一段1148號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車,120.632901,24.355876
111年03月16日 07時45分44秒,南投縣竹山鎮社竂里集山路一段1729號旁與投43線頂埔巷交叉路處,死亡1;受傷0,自用-小客車;普通重型-機車,120.718147,23.807734
111年03月16日 08時19分00秒,雲林縣元長鄉五塊村魚寮29分8東5電桿旁路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.278424,23.648933
111年03月16日 20時15分00秒,雲林縣莿桐鄉延平路與西安路27巷口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.496691,23.759108
111年03月16日 22時15分00秒,臺中市大里區樹王里德芳路二段 / 臺中市大里區樹王里爽文路,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,120.674550,24.103085
111年03月17日 06時51分00秒,屏東縣萬丹鄉台八八快速道路西向15公里處,死亡1;受傷0,營業用-曳引車;營業用-曳引車;自用-小客車,120.470791,22.575989
111年03月17日 20時20分00秒,宜蘭縣五結鄉五結路3段附近 / 宜蘭縣五結鄉五結路3段,死亡1;受傷0,普通重型-機車;自用-小客車,121.781909,24.682613
111年03月17日 22時13分00秒,新北市板橋區大觀路1段 / 新北市板橋區大觀路1段,死亡1;受傷1,行人-人;普通重型-機車,121.449791,25.012623
111年03月18日 01時27分00秒,臺北市中山區松江路 / 臺北市中山區錦州街,死亡1;受傷1,普通輕型-機車;自用-小客車,121.533175,25.060340
111年03月18日 03時54分00秒,南投縣仁愛鄉萬豐村投83縣道22.1公里處,死亡1;受傷0,普通重型-機車,121.074836,23.930932
111年03月18日 18時54分00秒,臺北市士林區士東路 / 臺北市士林區芝玉路2段,死亡1;受傷2,自用-小客車;行人-人;行人-人;行人-人,121.535313,25.112960
111年03月19日 05時39分00秒,苗栗縣苗栗市玉苗里中山路659號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車;自用-小客車,120.818647,24.556225
111年03月19日 05時45分00秒,屏東縣新園鄉後厝路3之7號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.471015,22.548598
111年03月19日 06時29分00秒,高雄市岡山區新樂街120號前0.0公尺,死亡1;受傷0,普通重型-機車,120.294814,22.805430
111年03月19日 13時00分00秒,新北市汐止區福德二路 / 新北市汐止區南陽街,死亡1;受傷0,普通重型-機車;自用-小客車;其他人-人,121.630273,25.065021
111年03月19日 13時42分00秒,臺中市大甲區文武里德興路 / 臺中市大甲區文武里仁愛街,死亡1;受傷0,普通重型-機車;自用-小客車,120.620517,24.351716
111年03月19日 13時59分00秒,高雄市苓雅區五福三路145號前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.292500,22.620610
111年03月19日 14時49分00秒,臺中市南屯區豐樂里文心南七路 / 臺中市南屯區豐樂里豐順街,死亡1;受傷1,普通重型-機車;自用-小客車;自用-小客車;乘客-人,120.640605,24.129541
111年03月19日 19時05分00秒,高雄市鳳山區五甲二路 / 高雄市鳳山區五甲二路,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車,120.338040,22.599661
111年03月19日 21時00分00秒,苗栗縣三義鄉水美13之2號附近道路附近,死亡1;受傷0,電動自行車-慢車,120.761568,24.397033
111年03月20日 04時27分00秒,新北市林口區新北市林口區台15線道後坑35號旁,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,121.363056,25.101667
111年03月20日 12時45分00秒,嘉義縣中埔鄉中崙村台3線311.6公里處,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.574338,23.372951
111年03月20日 17時07分54秒,臺南市北門區文山里無名道路(佳學高幹319左6)附近,死亡1;受傷0,普通重型-機車,120.129110,23.243399
111年03月20日 20時03分49秒,新竹市北區竹港大橋P15處,死亡1;受傷1,自用-小客車;自用-大貨車;自用-小客車,120.937967,24.846580
111年03月21日 11時19分00秒,高雄市左營區城峰路海勝006路燈號前0.0公尺,死亡1;受傷0,普通重型-機車,120.287862,22.672833
111年03月21日 11時49分00秒,臺南市永康區永華路口 / 臺南市永康區永榮二街口,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.258380,23.014905
111年03月21日 16時30分00秒,雲林縣大埤鄉大埤路543號前(中油加油站),死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.434794,23.646299
111年03月21日 18時59分00秒,高雄市橋頭區典昌路 / 高雄市橋頭區典昌街,死亡1;受傷1,普通重型-機車;行人-人,120.271352,22.730857
111年03月21日 23時06分00秒,高雄市岡山區國道1號 348公里900.0公尺處南側向內側,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.315962,22.805782
111年03月22日 02時23分00秒,臺東縣臺東市台11線 164公里200.0公尺處北側,死亡1;受傷0,普通重型-機車,121.150070,22.743427
111年03月22日 05時31分00秒,臺中市霧峰區四德里四德北路75號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.665224,24.066778
111年03月22日 07時54分55秒,花蓮縣吉安鄉中央路3段口 / 花蓮縣吉安鄉建昌路,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車,121.589844,23.990407
111年03月22日 08時34分00秒,嘉義縣六腳鄉灣南村灣內31號之5前,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,120.308353,23.498465
111年03月22日 09時15分29秒,臺南市新化區北勢里省道臺39線北側 / 臺南市新化區北勢里北勢路西側,死亡1;受傷0,其他特種車-特種車;普通重型-機車,120.288397,23.048605
111年03月22日 11時27分55秒,苗栗縣造橋鄉台1線 105公里200.0公尺處南側,死亡1;受傷1,營業用-曳引車;自用-小客車;乘客-人,120.845474,24.644771
111年03月22日 12時13分09秒,屏東縣竹田鄉新勢路與竹南路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.536558,22.623303
111年03月22日 19時26分00秒,高雄市仁武區澄觀路口 / 高雄市仁武區仁林路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.359900,22.701540
111年03月23日 05時43分00秒,屏東縣高樹鄉世一路(電桿泰南幹38),死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.598568,22.775329
111年03月23日 09時27分00秒,桃園市平鎮區三興路東勢段47-7號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.229192,24.909303
111年03月23日 10時35分00秒,彰化縣彰化市磚󿾨里彰草路 / 彰化縣彰化市磚󿾨里彰草路,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.522652,24.077683
111年03月23日 11時36分00秒,桃園市大園區中正東路3段口 / 桃園市大園區中正東路3段口,死亡1;受傷0,普通重型-機車;自用-小客車,121.227684,25.012016
111年03月23日 17時32分00秒,屏東縣新園鄉媽祖路418號,死亡1;受傷0,普通重型-機車,120.445033,22.514379
111年03月23日 23時55分00秒,新北市新莊區新北大道4段 / 新北市新莊區中環路3段,死亡1;受傷0,自用-小客車;普通重型-機車,121.450000,25.033333
111年03月24日 05時01分00秒,高雄市路竹區國道1號 341公里200.0公尺處南側向外側,死亡1;受傷0,營業用-大貨車;自用-大貨車,120.287976,22.859834
111年03月24日 12時20分00秒,高雄市三民區中華二路口 / 高雄市三民區中華橫巷口,死亡1;受傷0,普通重型-機車,120.292102,22.638596
111年03月24日 18時41分00秒,臺中市大肚區山陽里沙田路三段 / 臺中市大肚區山陽里沙田路三段,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.542370,24.169390
111年03月24日 23時06分36秒,臺南市安南區城西街2段588號西側,死亡1;受傷0,普通重型-機車,120.111223,23.058622
111年03月25日 06時10分00秒,臺中市大里區祥興里大智路563號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.690223,24.123513
111年03月25日 11時58分55秒,新竹縣湖口鄉八德路一段、鐵騎路(路口),死亡1;受傷0,拖車(架)-其他車;普通重型-機車,121.049111,24.877368
111年03月25日 15時47分00秒,新北市土城區新北市土城區擺接堡路往板橋方向056842號燈桿處,死亡1;受傷0,普通重型-機車,121.438912,24.981379
111年03月25日 16時14分00秒,彰化縣和美鎮中寮里新中路106號前0.0公尺前,死亡1;受傷0,營業用-全聯結車;腳踏自行車-慢車,120.537488,24.109192
111年03月25日 16時45分00秒,高雄市彌陀區中正南路彌陀002路燈號前0.0公尺,死亡1;受傷0,普通重型-機車,120.258050,22.770583
111年03月25日 19時18分00秒,臺中市龍井區南寮里南崗路前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.566358,24.179571
111年03月26日 07時59分00秒,高雄市阿蓮區無名路口 / 高雄市阿蓮區無名路口,死亡1;受傷1,普通重型-機車;自用-小客車,120.316400,22.870250
111年03月26日 08時14分00秒,臺北市北投區中央南路2段 / 臺北市北投區北投路1段,死亡1;受傷0,計程車-小客車;普通重型-機車,121.501659,25.121510
111年03月26日 14時24分00秒,臺東縣卑南鄉和平路口 / 臺東縣卑南鄉和平路口,死亡1;受傷0,普通重型-機車,121.089902,22.784865
111年03月26日 22時29分40秒,桃園市龍潭區中豐路高平段498號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.206133,24.830477
111年03月27日 19時50分00秒,臺中市潭子區東寶里大富路一段14號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.678858,24.204405
111年03月28日 02時14分00秒,新北市板橋區新北市板橋區臺65線道路板一匝道口,死亡1;受傷4,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,121.437265,24.978282
111年03月29日 05時10分00秒,雲林縣林內鄉漳雲路與增產路口,死亡1;受傷0,自用-小客車,120.634529,23.777821
111年03月29日 18時27分00秒,桃園市八德區興豐路740號前0.0公尺附近,死亡1;受傷0,普通重型-機車;行人-人;遊覽車-大客車;普通重型-機車;自用-小客車;普通重型-機車;普通重型-機車,121.297802,24.931631
111年03月29日 22時58分00秒,彰化縣線西鄉台61線 169公里600.0公尺處北側向內側,死亡1;受傷0,行人-人;自用-小客車,120.446736,24.142386
111年03月30日 00時38分00秒,臺中市神岡區庄前里三民南路 / 臺中市神岡區庄前里神林路,死亡1;受傷0,自用-小客車,120.656620,24.251015
111年03月30日 02時45分00秒,新北市板橋區新北市板橋區堤外便道1公里650公尺處,死亡1;受傷1,普通重型-機車;行人-人,121.467731,25.006527
111年03月30日 14時51分00秒,彰化縣溪州鄉圳寮村陸軍路前0.0公尺,死亡1;受傷0,營業用-全聯結車;普通重型-機車,120.519458,23.824788
111年03月30日 17時11分09秒,臺南市安南區安和路4段東側 / 臺南市安南區台江大道1段南側,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.218583,23.054513
111年03月31日 08時00分00秒,屏東縣枋寮鄉國宅路、隆山路227巷,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人,120.601053,22.366917
111年03月31日 10時15分00秒,新北市八里區龍米路口 / 新北市八里區龍形一街口,死亡1;受傷0,營業用-曳引車;普通輕型-機車,121.452096,25.128670
111年03月31日 10時18分00秒,屏東縣屏東市和生路一段631-5號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.492555,22.652069
111年03月31日 11時00分01秒,臺南市安平區健康路三段350號前南側西向東車道,死亡1;受傷1,普通重型-機車;乘客-人,120.184294,22.982289
111年03月31日 13時12分00秒,高雄市美濃區中興路1段 / 高雄市美濃區中正路2段,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.534022,22.885865
111年03月31日 17時15分00秒,臺中市北屯區和平里軍福十二路 / 臺中市北屯區和平里和福路,死亡1;受傷0,普通重型-機車;自用-小客車,120.723538,24.171629
111年04月01日 06時45分00秒,屏東縣東港鎮中正路3段北側 / 屏東縣東港鎮興農路東側,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.472759,22.486537
111年04月01日 18時21分17秒,屏東縣恆春鎮恆春鎮南灣路段(台26線32公里南下車道),死亡1;受傷0,普通重型-機車,120.771901,21.952667
111年04月01日 18時41分00秒,嘉義市西區竹圍里建國路 / 嘉義市西區竹圍里遠東街,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.436107,23.484805
